Produto;URL Imagem;;;;;;;
Uva;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Grapes/3D/grapes_3d.png?raw=true;;;;;;;
Banana;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Banana/3D/banana_3d.png?raw=true;;;;;;;
Maça;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Red%20apple/3D/red_apple_3d.png?raw=true;;;;;;;
Manga;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Mango/3D/mango_3d.png?raw=true;;;;;;;
Melancia;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Watermelon/3D/watermelon_3d.png?raw=true;;;;;;;
Limão;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Lemon/3D/lemon_3d.png?raw=true;;;;;;;
Laranja;https://github.com/microsoft/fluentui-emoji/blob/main/assets/Tangerine/3D/tangerine_3d.png?raw=true;;;;;;;
